,timestamp,tweet
108,2016-20-05 15:26:38,RT @VikasUp179: #TransformingIndia @smritiirani @Narendramodi_PM pls look into the students sufferings of IIIT kalyani..many basic problems…
109,2016-20-05 15:26:32,RT @mradul_dubey: iiitkalyani #TransformingIndia @narendramodi @smritiirani Dispel ur curr' notions abt Edu Sys to learn the reality  https…
110,2016-20-05 15:26:27,RT @mradul_dubey: iiitkalyani #TransformingIndia @narendramodi @smritiirani Dispel ur curr' notions abt Edu Sys to learn the reality  https…
111,2016-20-05 15:25:48,#TransformingIndia #iiitkalyani @smritiirani @narendramodi Why negligence towards IIIT Kalyani by MHRD?Students are in a pitiable condition
112,2016-20-05 15:23:45,"RT @spsingh_iiitkk: @suryavamsi81 @smritiirani  
#TransformingIndia 
#iiitkalyani"
113,2016-20-05 15:23:10,RT @VikasUp179: #TransformingIndia@smritiirani@naredramodiMAAM why is IIIT kalyani being neglected by MHRDpls look into the condition of st…
114,2016-20-05 15:23:03,RT @verma123naveen: #TransformingIndia #iiitkalyani @smritiirani @PMOIndia Students of IIIT Kalyani are requesting to be looked after their…
115,2016-20-05 15:22:05,"#TransformingIndia #iiitkalyani @narendramodi @smritiirani Mam why injustice towards IIIT Kalyani students? No facilities, no faculty..."
116,2016-20-05 15:19:32,"RT @1n_only_prk: #TransformingIndia @smritiirani mam , IIIt kalyani is lacking basic facilities. our future seems to be all dark.. please t…"
117,2016-20-05 15:17:44,"RT @RahulKumarRK27: #TransformingIndia @smritiirani please look into the affairs of IIIT Kalyani.
students are suffering.."
118,2016-20-05 15:17:27,RT @VikasUp179: #TransformingIndia@smritiirani why is IIIT kalyani being neglected by MHRD...pls look into the matter....studnts facing man…
119,2016-20-05 15:17:19,RT @verma123naveen: #TransformingIndia @smritiirani ma'am please visit IIIT Kalyani campus and look into the problems students are facing.
120,2016-20-05 15:17:05,#TransformingIndia @smritiirani Mam IIIT Kalyani students are struggling for basic necessities. Please come and resolve some basic issues
121,2016-20-05 15:14:24,"#TransformingIndia @smritiirani Why no attention towards IIIT Kalyani? 2 years passed but no campus, no faculty, no facilities..."
122,2016-20-05 15:11:56,#TransformingIndia Madam please see the injustice done to IIIT Kalyani students. Students are suffering here...
123,2016-20-05 15:10:35,@TransformingInd @smritiirani Mam why this injustice to IIIT Kalyani students? Students here suffering...
124,2016-20-05 15:06:31,#TransformingIndia @smritiirani Mam please see the miserable position of IIIT Kalyani students... 2 years passed but no proper facilities..
125,2016-20-05 15:02:56,RT @VikasUp179: #TransformingIndia@smritiirani Maam pls look into the condition of IIIT kalyani ...many academic nd basic prblms
126,2016-20-05 15:02:50,#TransformingIndia @smritiirani Mam why injustice for IIIT Kalyani students? 2 years passed but no proper facilities till now.
127,2016-20-05 15:00:34,"#TransformingIndia @smritiirani Mam please come and see the miserable condition of IIIT Kalyani students. No facilities, no campus..."
128,2016-20-05 14:58:43,RT @VikasUp179: #TransformingIndia@smritiirani Maam pls look into condition of IIIT kalyani...studnts facing many problems..
129,2016-20-05 14:58:19,#TransformingIndia @smritiirani Mam please come and see the issues faced by IIIT Kalyani students. 2 years passed and no proper facilities.
130,2016-20-05 14:56:23,RT @VikasUp179: #TransformingIndia@smritiirani Maam pls visit IIIT kalyani once.students facing basic problems
131,2016-20-05 14:55:05,RT @VikasUp179: #TransformingIndia@smritiiraniMaam pls look into the condition of IIITKalyani students facing problems (academic and basic…
132,2016-20-05 14:54:58,#TransformingIndia @smritiirani Please see the condition of IIIT Kalyani. 2 years passed but no proper facilities for students.
133,2016-20-05 14:53:28,"RT @spsingh_iiitkk: #TransformingIndia  @smritiirani .Please look into the affairs of IIIT Kalyani. No campus,no teachers ,no facilties,stu…"
134,2016-20-05 14:53:20,"#TransformingIndia @smritiirani Madam once come and see the suffering of IIIT Kalyani students. No campus, no good facilities..."
135,2016-20-05 14:52:04,#TransformingIndia @smritiirani The condition of students at IIIT Kalyani is miserable. Please look into this issue as soon as possible.
136,2016-20-05 14:50:29,#TransformingIndia @smritiirani please look into the issues at IIIT Kalyani. Please see the suffering of students here.
137,2016-20-05 14:49:09,#TransformingIndia @smritiirani please look into the issues at IIIT Kalyani. Students are suffering here.
138,2016-20-05 14:47:36,RT @VikasUp179: #TransformingIndia@smritiiraniMaam please look into the condition of IIITKalyani students facing problems (academic and bas…
139,2016-20-05 14:47:03,#TransformingIndia @smritiirani please look into the matters of IIIT Kalyani. Students are suffering here.
140,2016-20-05 14:40:37,"RT @spsingh_iiitkk: #TransformingIndia 
@smritiirani .Please look into the affairs of IIIT Kalyani. No campus,no teachers ,no facilties,stu…"
141,2016-03-05 06:15:19,"@smritiirani Please show concern for IIIT Kalyani students. They don't have proper academics, accommodation and no proper infrastructure."
142,2016-03-05 06:06:24,"RT @spsingh_iiitkk: @smritiirani @narendramodi Please look into the affairs of IIIT Kalyani. No campus,no teachers ,no facilties,student su…"
143,2016-03-05 06:06:18,RT @Rajatbrshukla: Yup 1st year students are really.. https://t.co/GRHK6VEuxb
144,2016-30-04 14:10:48,@smritiirani Madam kindly see the position the position of our college IIIT Kalyani. Students are not getting good facilities here.
145,2016-30-04 12:16:33,"Learn how to respect elders
 https://t.co/esnNjavhnu"
146,2016-28-03 17:35:59,@AppleSupport Thanks. Received iOS 9.3 update to my iPhone 5s
147,2016-28-03 14:58:56,@AppleSupport When will iphone 5s users get ios 9.3 update?
148,2016-27-03 17:54:20,@Airtel_Presence Is there a problem with airtel internet in Kolkata circle? My airtel sim internet is not working from today evening.
149,2016-10-03 16:46:06,@Airtel_Presence Thanks my connection was activated.
150,2016-10-03 14:57:02,@Airtel_Presence So is there any chance that my sim will be activated today? Please make it fast as my other number will be disconnected.
151,2016-10-03 14:24:00,@Airtel_Presence It has been 4 hours since I have given my details but till now there is no sign of activation of the sim.
152,2016-10-03 12:15:38,@Airtel_Presence Will this be reolved today?
153,2016-10-03 10:27:59,@Airtel_Presence the number is 8583842680 and alternate contact number is 7044793719. Please activate the number as soon as possible.
154,2016-10-03 05:25:49,I just registered for Google Code Jam! See https://t.co/x11vSp45gH for more information #CodeJam2016
155,2016-10-03 04:36:50,RT @thecrazyprogrmr: Programmers Life! :V :V https://t.co/IQ78Bk2Ttj
156,2016-10-03 04:31:21,"@airtelindia I have bought a new prepaid sim day before yesterday and till now it is not activated.  I am  from Kalyani, WestBengal."
157,2016-19-02 18:08:38,@Rajatbrshukla its Birmingham not Burmingham.
158,2015-27-11 15:43:53,RT @VAdouth: #date 27-11-2015 #seminar with #IBM mza in #IIITkalyani.. https://t.co/f3vC70h7JL
159,2015-27-11 15:42:27,@verma123naveen hi bro
160,2015-24-03 10:56:36,Just tried out this awesome tool for Wifi Password Hack - Its Amazing! http://t.co/teQTo5pXXW http://t.co/teQTo5pXXW
